GeneSymbol	EntrezID	Modul
DNMT3B	1789	1
MCM6	4175	1
CDC25A	993	1
PFAS	5198	1
MCM4	4173	1
XRCC5	7520	1
HAUS6	54801	1
TET1	80312	1
IGF2BP1	10642	1
PLAA	9373	1
DEPDC1B	55789	1
TEX10	54881	1
CCDC99	54908	1
MSH2	4436	1
BUB1B	701	1
MSH6	2956	1
DLGAP5	9787	1
SKIV2L2	23517	1
CENPE	1062	1
CHEK2	11200	1
SOHLH2	54937	1
CCNB1	891	1
RRAS2	22800	1
PRIM1	5557	1
PAICS	10606	1
CCNA2	890	1
CPSF3	51692	1
NUSAP1	51203	1
LIN28B	389421	1
IPO5	3843	1
KIF11	3832	1
BMPR1A	657	1
NDC80	10403	1
BCAT1	586	1
CCNG1	900	1
ZNF788	388507	1
ASCC3	10973	1
FANCB	2187	1
MCM10	55388	1
HMGA2	8091	1
SKP2	6502	1
TRIM24	8805	1
ORC1	4998	1
HDAC2	3066	1
HESX1	8820	1
C1orf135	79000	1
INHBE	83729	1
MIS18A	54069	1
DCUN1D5	84259	1
POLE2	5427	1
MRPL3	11222	1
CENPH	64946	1
MYCN	4613	1
HAUS1	115106	1
GDF3	9573	1
TBCE	6905	2
RIOK2	55781	2
BCKDHB	594	2
RAD1	5810	2
NREP	9315	2
ADH5	128	2
PLRG1	5356	2
ROR1	4919	2
RAB3B	5865	2
LOC285431	285431	2
DBC1	1620	2
KIF23	9493	2
DIAPH3	81624	2
GNL2	29889	2
FGF2	2247	2
TARDBP	23435	2
NMNAT2	23057	2
ZNF167	55888	2
KIF20A	10112	2
CENPI	2491	2
DDX1	1653	2
XXYLT1	152002	2
GPR176	11245	2
FBXO22	26263	2
BBS9	27241	2
C14orf166	51637	2
BOD1	91272	2
CDC123	8872	2
SNRPD3	6634	2
FAM118B	79607	2
DPH3	285381	2
EIF2B3	8891	2
KDELC1	79070	2
RPF2	84154	2
APLP1	333	2
DACT1	51339	2
PDHB	5162	2
C14orf119	55017	2
DTD1	92675	2
SAMM50	25813	2
CCL26	10344	2
C4orf52	389203	2
CCDC90B	60492	2
MED20	9477	2
UTP6	55813	2
RARS2	57038	2
KIAA0020	9933	2
ARMCX2	9823	2
RARS	5917	2
MTHFD2	10797	2
DHX15	1665	2
HTR7	3363	2
HIST1H4C	8364	2
MTHFD1L	25902	3
ARMC9	80210	3
XPOT	11260	3
IARS	3376	3
HDX	139324	3
ACTRT3	84517	3
ERCC2	2068	3
TBC1D16	125058	3
GARS	2617	3
KIF7	374654	3
UBE2K	3093	3
SLC25A3	5250	3
ICMT	23463	3
UGGT2	55757	3
ATP11C	286410	3
SLC24A1	9187	3
EIF2AK4	440275	3
GPX8	493869	3
ALX1	8092	3
OSTC	58505	3
TRPC4	7223	3
HAS2	3037	3
FZD2	2535	3
TRNT1	51095	3
MMADHC	27249	3
SNX8	29886	3
CDH6	1004	3
HAT1	8520	3
SEC11A	23478	3
DIMT1	27292	3
TM2D2	83877	3
FST	10468	3
GBE1	2632	3
MLL3	58508	4
MXI1	4601	4
FKSG49	400949	4
FAM185BP	641808	4
ARRB2	409	4
SMARCC2	6601	4
WASH3P	374666	4
PILRB	29990	4
CTSH	1512	4
SAT1	6303	4
JUNB	3726	4
CD53	963	4
PECAM1	5175	4
IL10RA	3587	4
RCSD1	92241	4
ARHGDIB	397	4
GIMAP5	55340	4
GIMAP6	474344	4
HLA-DMB	3109	4
PTPRC	5788	4
C10orf128	170371	4
CMBL	134147	4
HLA-DRB5	3127	4
HLA-DPA1	3113	4
ABCG1	9619	4
GIMAP7	168537	4
HLA-DQA1	3117	4
TSHZ2	128553	4
RGCC	28984	4
CCR1	1230	4
NPR3	4883	4
RSAD2	91543	4
GIMAP1	170575	4
TNFSF10	8743	4
AFTPH	54812	4
MALAT1	378938	4
UBXN2A	165324	4
PDE4C	5143	4
GIMAP8	155038	4
FYB	2533	4
MS4A7	58475	4
C5orf56	441108	4
LOC400931	400931	4
MLLT6	4302	4
CTSS	1520	4
