Symbol	Entrez GeneID	U2OS	HeLa-Whitfield	Foreskin fibroblasts	HaCaT	Total # of datasets
BIRC5	332	Yes	yes	Yes	Yes	4
BARD1	580	Yes	yes	Yes	Yes	4
BUB1	699	Yes	yes	Yes	Yes	4
BUB1B	701	Yes	yes	Yes	Yes	4
CCNA2	890	Yes	yes	Yes	Yes	4
CCNB1	891	Yes	yes	Yes	Yes	4
CCNE1	898	Yes	yes	Yes	Yes	4
CCNF	899	Yes	yes	Yes	Yes	4
CDC6	990	Yes	yes	Yes	Yes	4
CDC20	991	Yes	yes	Yes	Yes	4
CDC25A	993	Yes	yes	Yes	Yes	4
CDC25B	994	Yes	yes	Yes	Yes	4
CDC25C	995	Yes	yes	Yes	Yes	4
CDKN2C	1031	Yes	yes	Yes	Yes	4
CENPA	1058	Yes	yes	Yes	Yes	4
CENPE	1062	Yes	yes	Yes	Yes	4
CENPF	1063	Yes	yes	Yes	Yes	4
CKS1B	1163	Yes	yes	Yes	Yes	4
CKS2	1164	Yes	yes	Yes	Yes	4
E2F1	1869	Yes	yes	Yes	Yes	4
E2F5	1875	Yes	yes	Yes	Yes	4
H2AFX	3014	Yes	yes	Yes	Yes	4
HMGB2	3148	Yes	yes	Yes	Yes	4
HMGB3	3149	Yes	yes	Yes	Yes	4
HMMR	3161	Yes	yes	Yes	Yes	4
KIF11	3832	Yes	yes	Yes	Yes	4
KIF22	3835	Yes	yes	Yes	Yes	4
KPNA2	3838	Yes	yes	Yes	Yes	4
LBR	3930	Yes	yes	Yes	Yes	4
MCM2	4171	Yes	yes	Yes	Yes	4
MCM5	4174	Yes	yes	Yes	Yes	4
MCM6	4175	Yes	yes	Yes	Yes	4
MKI67	4288	Yes	yes	Yes	Yes	4
NEK2	4751	Yes	yes	Yes	Yes	4
PCNA	5111	Yes	yes	Yes	Yes	4
PLK1	5347	Yes	yes	Yes	Yes	4
PRIM1	5557	Yes	yes	Yes	Yes	4
RFC2	5982	Yes	yes	Yes	Yes	4
RFC4	5984	Yes	yes	Yes	Yes	4
RRM2	6241	Yes	yes	Yes	Yes	4
SFPQ	6421	Yes	yes	Yes	Yes	4
TOP2A	7153	Yes	yes	Yes	Yes	4
TTK	7272	Yes	yes	Yes	Yes	4
UNG	7374	Yes	yes	Yes	Yes	4
SLBP	7884	Yes	yes	Yes	Yes	4
CHAF1B	8208	Yes	yes	Yes	Yes	4
HIST1H4C	8364	Yes	yes	Yes	Yes	4
PRC1	9055	Yes	yes	Yes	Yes	4
CCNB2	9133	Yes	yes	Yes	Yes	4
CCNE2	9134	Yes	yes	Yes	Yes	4
EXO1	9156	Yes	yes	Yes	Yes	4
BUB3	9184	Yes	yes	Yes	Yes	4
PTTG1	9232	Yes	yes	Yes	Yes	4
KIF23	9493	Yes	yes	Yes	Yes	4
MPHOSPH1	9585	Yes	yes	Yes	Yes	4
ESPL1	9700	Yes	yes	Yes	Yes	4
DLG7	9787	Yes	yes	Yes	Yes	4
ARHGAP11A	9824	Yes	yes	Yes	Yes	4
CNAP1	9918	Yes	yes	Yes	Yes	4
TROAP	10024	Yes	yes	Yes	Yes	4
CHAF1A	10036	Yes	yes	Yes	Yes	4
