Gene Symbol	RefSeq ID	p-value_columnar_vs_junction	Fold-Change_columnar_vs_junction	p-value_columnar_vs_squamous	Fold-Change_columnar_vs_squamous	p-value_junction_vs_squamous	Fold-Change_junction_vs_squamous
C9orf61	NM_004816	9,88E-05	3,75376	0,000423408	2,76563	0,080232	-1,35729
CD200	NM_001004196	0,00041894	2,35053	0,000110382	2,96671	0,10461	1,26215
ENPP3	NM_005021	0,00367423	2,01808	0,00010908	3,91089	0,00488155	1,93793
SCGB2A1	NM_002407	0,0343892	2,94771	0,000125106	31,875	0,000962384	10,8135
PLXNA4	NM_020911	0,00350637	2,05544	0,000210656	3,4281	0,0163919	1,66782
SERPINA3	NM_001085	0,00702247	2,56107	0,000252098	6,07372	0,0102814	2,37156
SCGB3A1	NM_052863	0,00171583	3,6954	0,000498345	5,22838	0,204036	1,41483
TSPYL2	NM_022117	0,00516439	2,02457	0,000528843	3,02008	0,0511074	1,49171
SCGB1D2	NM_006551	0,0167958	20,0333	0,000653357	364,844	0,0191502	18,2119
GPR31	NM_005299	0,00210851	2,7374	0,00132741	3,01232	0,641701	1,10043
OR56A1	NM_001001917	0,0013668	2,90594	0,00540335	2,24172	0,221208	-1,2963
ADCYAP1R1	NM_001118	0,00489	2,07705	0,00176722	2,458	0,356261	1,18341
INGX	NR_002226	0,00241773	2,15348	0,00371025	2,01978	0,689818	-1,06619
C1orf173	NM_001002912	0,0149492	2,64392	0,00158027	4,81333	0,0827624	1,82053
NPAS3	NM_173159	0,0149762	2,07544	0,00236199	2,97539	0,147124	1,43362
NEUROD1	NM_002500	0,00409988	2,20305	0,00600053	2,07205	0,738759	-1,06322
AMY2B	NM_020978	0,017696	3,23655	0,00272225	5,90018	0,148746	1,82299
GTF2IRD1	NM_016328	0,00945924	2,04229	0,003646	2,40403	0,424131	1,17712
PKHD1L1	NM_177531	0,0198001	2,94974	0,00379398	4,8089	0,204441	1,63028
POU5F1	NM_203289	0,00937649	2,86851	0,00668301	3,11448	0,778889	1,08575
C20orf30	NM_001009924	0,0256319	2,13561	0,0105963	2,56307	0,504793	1,20016
ARSD	NM_001669	0,0242932	2,0121	0,0123938	2,28145	0,610324	1,13386
ATP6V0A1	NM_001130020	0,0296926	2,88077	0,0134567	3,63552	0,555673	1,26199
ULBP1	NM_025218	0,024473	2,02283	0,0150721	2,21432	0,714745	1,09466
OR2A14	NM_001001659	0,027502	2,1305	0,0165734	2,36309	0,705361	1,10917
LOC283174	NR_024344	0,012838	3,05726	0,0628957	2,07049	0,268108	-1,47659
OR2H2	NM_007160	0,0155242	2,47603	0,0376931	2,0548	0,517213	-1,205
C14orf101	NM_017799	0,0685085	2,48448	0,0137263	4,1128	0,265526	1,6554
SORD	NM_003104	0,0325611	3,34722	0,0197605	3,96066	0,713244	1,18327
C17orf88	NR_026770	0,037841	2,06564	0,0193828	2,37707	0,625833	1,15076
CDC2L2	NM_024011	0,0807311	2,08934	0,0188368	3,06643	0,316626	1,46765
CCL27	NM_006664	0,0406343	2,57963	0,0286735	2,83899	0,801427	1,10054
ZFP3	NM_153018	0,0332417	2,10888	0,0422315	2,00877	0,86359	-1,04984
RGL2	NM_004761	0,0381181	2,0269	0,0401425	2,0061	0,970423	-1,01036
HEY1	NM_012258	0,0910184	2,20257	0,0315345	2,99177	0,465063	1,35831
TSPAN11	NM_001080509	0,085274	2,46006	0,0338638	3,31068	0,522461	1,34578
KRTAP10-5	NM_198694	0,103601	2,15116	0,0439517	2,76066	0,55528	1,28333
C6orf35	NM_018452	0,0536259	2,8487	0,0835934	2,47377	0,757714	-1,15157
IGF2BP2	NM_006548	0,228671	2,19472	0,0418385	4,5376	0,261793	2,06751
SFRP4	NM_003014	0,091464	2,37034	0,0828244	2,4445	0,945198	1,03129
SPACA5	NM_205856	0,187276	2,02941	0,0627079	2,95896	0,458031	1,45804
MMP23B	NM_006983	0,0847879	4,19922	0,139662	3,26803	0,730946	-1,28494
LOC494150	AK292677	0,111123	2,42105	0,103576	2,47992	0,961187	1,02432
SHPK	NM_013276	0,109255	2,51025	0,129586	2,36327	0,90597	-1,06219
PCDH11Y	NM_032971	0,227079	2,74232	0,0899164	4,54676	0,525196	1,658
GFRA3	NM_001496	0,113732	2,36644	0,142369	2,19421	0,876384	-1,07849
OCM2	NM_006188	0,226267	2,45867	0,171248	2,82007	0,843961	1,14699
CCNL2	NM_001039577	0,186089	2,27965	0,206605	2,18468	0,941057	-1,04347
C18orf12	AB027121	0,168376	2,51271	0,250165	2,11459	0,779245	-1,18827
LOC554203	NR_024582	0,21516	2,05362	0,203901	2,09654	0,969522	1,0209
EIF2S2	NM_003908	0,255153	3,45181	0,19948	4,13653	0,860271	1,19836
PIGH	NM_004569	0,249864	2,3466	0,235742	2,41636	0,966527	1,02973
