Gene Symbol	RefSeq ID	p-value_columnar_vs_junction	Fold-Change_columnar_vs_junction	p-value_columnar_vs_squamous	Fold-Change_columnar_vs_squamous	p-value_junction_vs_squamous	Fold-Change_junction_vs_squamous
CFB	NM_001710	4,11E-05	-3,83148	1,81E-05	4,70281	4,59E-07	18,0187
RDH10	NM_172037	3,26E-05	-3,55972	0,00200325	1,81813	3,44E-06	6,47204
C20orf114	NM_033197	0,0136828	-2,65673	3,18E-05	23,2753	6,61E-06	61,8363
AGR2	NM_006408	0,00277157	-2,77861	6,41E-05	7,83171	6,22E-06	21,7613
LRRN1	NM_020873	0,000113494	-4,45391	0,00128859	2,59779	6,59E-06	11,5703
CP	NM_000096	0,00421861	-3,44225	7,30E-05	14,1935	8,02E-06	48,8577
CFH	NM_000186	0,00239317	-2,21798	0,000262805	3,35669	1,49E-05	7,44506
FGB	NM_005141	0,000141167	-3,70277	0,012576	1,71405	1,97E-05	6,34674
TSPAN1	NM_005727	0,000545263	-3,57391	0,00164247	2,80732	1,94E-05	10,0331
FGA	NM_000508	0,000222818	-3,5034	0,021768	1,63242	3,45E-05	5,71903
SOD2	NM_001024465	0,00104236	-2,70608	0,00272677	2,27994	3,72E-05	6,1697
CYP24A1	NM_000782	0,000256284	-5,63819	0,0417194	1,78917	5,02E-05	10,0877
CFTR	NM_000492	0,00555841	-2,27744	0,00102748	3,17737	5,32E-05	7,23627
KRT7	NM_005556	0,0389713	-2,39257	0,666391	1,46207	8,41E-05	3,05557
PROM1	NM_001145847	0,0255913	-2,15476	0,000667588	5,33067	8,32E-05	11,4863
SLC34A2	NM_006424	0,00177612	-5,47595	0,00553347	3,84741	7,50E-05	21,0682
RARRES1	NM_206963	0,00103828	-5,8792	0,0161011	2,69829	9,12E-05	15,8638
SAA1	NM_000331	0,0856502	-3,13007	0,000608679	37,8584	0,000135986	118,5
TMC5	NM_001105248	0,00650868	-2,08463	0,00306135	2,36529	0,00011502	4,93076
PLUNC	NM_130852	0,00115573	-6,93472	0,029538	2,58355	0,000132727	17,9162
SLC26A4	NM_000441	0,00194571	-2,50007	0,0228282	1,70208	0,000168567	4,25531
G0S2	NM_015714	0,000252388	-5,96783	0,316711	-1,28857	0,000580566	4,63135
VTCN1	NM_024626	0,0033084	-2,03633	0,0132757	1,68999	0,000180175	3,44139
KYNU	NM_003937	0,000621621	-4,50108	0,575479	-1,14638	0,0010287	3,92634
CXCL5	NM_002994	0,0183491	-2,37084	0,00768688	2,87888	0,000379197	6,82536
C4orf19	NM_001104629	0,0111208	-2,01379	0,0198788	1,83848	0,000509095	3,70233
SRD5A3	NM_024592	0,00200629	-2,94381	0,438377	1,18787	0,000936129	3,49687
GDA	NM_004293	0,0023658	-2,51853	0,314601	1,22293	0,000859138	3,07998
CFL2	NM_138638	0,00101486	-2,88447	0,434273	-1,16108	0,00221201	2,4843
LCN2	NM_005564	0,0022283	-3,88678	0,682357	1,12129	0,00147778	4,3582
