CLID	NAME	Fourier	Scaled Fourier	Sin	Cos	Atan2	Phase
AGI_HUM1_OLIGO_A_23_P41476	693125 ^ LOC152573 ^ Hypothetical protein BC012029 ^ 152573	32.46590391	27.01215151	-0.609065103	-0.793120231	-2.486711356	G2/M 
AGI_HUM1_OLIGO_A_23_P416468	849184 ^ C15orf20 ^ Chromosome 15 open reading frame 20 ^ 80119	33.94317187	26.51392801	-0.339777688	-0.94050578	-2.794912141	G2/M 
AGI_HUM1_OLIGO_A_23_P118150	861359 ^ ARL6IP ^ ADP-ribosylation factor-like 6 interacting protein ^ 23204	27.08331509	23.97331094	-0.540115088	-0.841591166	-2.571018799	G2/M 
AGI_HUM1_OLIGO_A_23_P256956	688732 ^ KIF20A ^ Kinesin family member 20A ^ 10112	25.22026403	23.49086008	-0.726245716	-0.687435204	-2.328747868	G2/M 
AGI_HUM1_OLIGO_A_23_P111132	690200 ^ HSPA1A ^ Heat shock 70kDa protein 1A ^ 3303	31.0747884	22.89518937	-0.647316266	-0.762221524	-2.437534441	G2/M 
AGI_HUM1_OLIGO_A_24_P332314	851878 ^ CANP ^ Cancer-associated nucleoprotein ^ 374393	28.35211575	22.55473182	0.132016713	0.99124749	0.132403226	G1/S 
AGI_HUM1_OLIGO_A_24_P313504	870451 ^ PLK1 ^ Polo-like kinase 1 (Drosophila) ^ 5347	24.94010139	22.46684142	-0.672719964	-0.739897189	-2.403713844	G2/M 
AGI_HUM1_OLIGO_A_23_P31073	693882 ^ MYB ^ V-myb myeloblastosis viral oncogene homolog (avian) ^ 4602	27.14023629	22.1256434	0.350554456	0.93654235	0.358163063	G1/S 
AGI_HUM1_OLIGO_A_23_P323751	773614 ^ C20orf129 ^ Chromosome 20 open reading frame 129 ^ 81610	28.32231389	21.85055188	-0.230317324	-0.973115579	-2.909188893	G2 
AGI_HUM1_OLIGO_A_23_P25626	689405 ^ FLJ22624 ^ FLJ22624 protein ^ 79866	24.60999524	21.0853025	-0.296027437	-0.955179437	-2.841061666	G2 
